アイテム名,コード,リテール分類コード,企業コード,企業名,営業月,対象年月日,対象年月日 (コピー),店舗コード,店舗名,店舗設定名,表示コード,Vポイント値引き額(税込み),Vポイント値引額(標準税率分/税込),Vポイント値引額(軽減税率分/税込),値引金額,売上数量,売上金額,売上金額(Vポイント値引き前),売上金額(標準税率分/税抜),売上金額(軽減税率分/税抜),客数,買取数
ＣＤ,0,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＣＤ　　　　　　　　　　　　　　　　　　,1,284,312,0,13478,97,18611,18895,18611,0,3,0
ＭＡＸＩ,1,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＭＡＸＩ　　　　　　　　　　　　　　　　,2,28,30,0,1597,11,2110,2138,2110,0,4,0
ＣＤＳ,2,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＣＤＳ　　　　　　　　　　　　　　　　　,3,0,0,0,0,0,0,0,0,0,0,0
ＬＰ,3,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＬＰ　　　　　　　　　　　　　　　　　　,4,0,0,0,0,0,0,0,0,0,0,0
ＥＰ,4,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＥＰ　　　　　　　　　　　　　　　　　　,5,0,0,0,0,0,0,0,0,0,0,0
ＭＴ,5,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＭＴ　　　　　　　　　　　　　　　　　　,6,0,0,0,0,0,0,0,0,0,0,0
ＭＤ,6,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＭＤ　　　　　　　　　　　　　　　　　　,7,0,0,0,0,0,0,0,0,0,0,0
ＶＨＳ,20,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＶＨＳ　　　　　　　　　　　　　　　　　,8,0,0,0,0,0,0,0,0,0,0,0
ＤＶＤ,21,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＤＶＤ　　　　　　　　　　　　　　　　　,9,1007,1103,0,3600,619,52219,53226,52219,0,1,0
ブルーレイ,22,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ブルーレイ　　　　　　　　　　　　　　　,10,0,0,0,0,3,300,300,300,0,0,0
８ミリ,23,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,８ミリ　　　　　　　　　　　　　　　　　,11,0,0,0,0,0,0,0,0,0,0,0
ＬＤ,24,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＬＤ　　　　　　　　　　　　　　　　　　,12,0,0,0,0,0,0,0,0,0,0,0
ゲームソフト,40,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ゲームソフト　　　　　　　　　　　　　　,13,0,0,0,9,8,90000,90000,0,0,1,0
